# VAAKKU mask benchmark (build plan §6.5, gate G4)
# generated,2026-09-13T08:14:06.658+05:30
# device,I2501
# soc,QTI/SM8850
# android,16 (API 36)
# model,npu/selfie_multiclass_256x256.tflite
# runs,50
# warmup_discarded,5
# page,synthetic 3000x4000
# inference_ms,model.run only
# total_ms,scale + normalise + infer + paint
# note,accelerator is the rung LiteRT accepted; dispatch proof is logcat
accelerator,run,inference_ms,total_ms
NPU,1,2.603,157.692
NPU,2,2.570,157.204
NPU,3,2.535,156.977
NPU,4,2.806,157.197
NPU,5,2.572,158.254
NPU,6,2.575,161.019
NPU,7,2.615,161.807
NPU,8,2.915,162.150
NPU,9,2.594,159.616
NPU,10,2.591,160.002
NPU,11,2.604,159.527
NPU,12,2.855,162.336
NPU,13,2.585,162.415
NPU,14,2.588,161.838
NPU,15,2.603,160.795
NPU,16,2.845,161.973
NPU,17,2.554,159.308
NPU,18,2.545,161.794
NPU,19,2.597,162.183
NPU,20,2.830,157.729
NPU,21,2.518,157.073
NPU,22,2.512,157.374
NPU,23,2.560,158.273
NPU,24,2.827,157.399
NPU,25,2.516,161.315
NPU,26,2.602,161.976
NPU,27,2.573,161.997
NPU,28,2.873,157.996
NPU,29,2.560,157.198
NPU,30,2.522,157.021
NPU,31,2.576,157.094
NPU,32,2.872,159.952
NPU,33,2.607,157.208
NPU,34,2.517,157.136
NPU,35,2.554,156.915
NPU,36,2.779,157.103
NPU,37,2.504,159.625
NPU,38,2.540,161.741
NPU,39,2.579,161.041
NPU,40,2.811,157.186
NPU,41,2.539,158.216
NPU,42,2.545,157.083
NPU,43,2.508,156.975
NPU,44,2.848,161.688
NPU,45,2.618,157.833
NPU,46,2.544,158.935
NPU,47,2.623,159.626
NPU,48,2.828,161.827
NPU,49,2.545,161.652
NPU,50,2.604,163.231
GPU,1,11.763,166.547
GPU,2,11.828,169.493
GPU,3,10.999,169.110
GPU,4,11.814,166.356
GPU,5,11.930,168.913
GPU,6,11.715,168.385
GPU,7,6.309,160.810
GPU,8,6.378,163.805
GPU,9,6.344,162.721
GPU,10,11.759,166.993
GPU,11,11.807,168.565
GPU,12,11.825,167.884
GPU,13,10.984,165.719
GPU,14,11.815,166.342
GPU,15,11.849,167.884
GPU,16,11.654,166.821
GPU,17,11.880,167.217
GPU,18,11.810,166.638
GPU,19,11.708,166.160
GPU,20,12.332,166.824
GPU,21,11.760,168.633
GPU,22,11.758,181.668
GPU,23,12.693,170.253
GPU,24,12.480,173.304
GPU,25,6.503,169.289
GPU,26,11.710,166.776
GPU,27,11.678,173.377
GPU,28,11.765,166.818
GPU,29,11.958,166.503
GPU,30,11.884,167.717
GPU,31,11.044,165.564
GPU,32,11.978,166.478
GPU,33,11.818,168.586
GPU,34,11.638,166.417
GPU,35,11.955,167.109
GPU,36,11.830,166.291
GPU,37,10.838,165.304
GPU,38,11.679,166.163
GPU,39,6.383,164.401
GPU,40,11.842,166.557
GPU,41,11.807,168.630
GPU,42,11.878,171.206
GPU,43,6.312,163.054
GPU,44,6.322,161.321
GPU,45,6.278,160.773
GPU,46,11.822,168.354
GPU,47,11.799,167.035
GPU,48,11.962,170.314
GPU,49,11.039,167.915
GPU,50,12.355,166.930
CPU,1,36.493,193.714
CPU,2,34.589,193.854
CPU,3,34.653,192.796
CPU,4,34.773,194.703
CPU,5,34.620,192.521
CPU,6,34.593,190.903
CPU,7,37.181,197.430
CPU,8,34.582,190.041
CPU,9,34.823,197.067
CPU,10,34.582,193.874
CPU,11,34.532,194.565
CPU,12,36.534,195.999
CPU,13,35.115,190.501
CPU,14,34.516,194.085
CPU,15,34.667,190.197
CPU,16,34.602,189.951
CPU,17,34.502,192.456
CPU,18,35.961,195.283
CPU,19,34.752,195.367
CPU,20,36.367,195.808
CPU,21,34.853,194.200
CPU,22,34.998,189.844
CPU,23,34.466,193.843
CPU,24,34.512,190.252
CPU,25,36.531,196.630
CPU,26,34.991,191.219
CPU,27,34.403,189.445
CPU,28,34.690,198.161
CPU,29,34.501,193.962
CPU,30,34.494,191.947
CPU,31,34.450,191.622
CPU,32,36.540,193.829
CPU,33,36.690,193.078
CPU,34,34.518,189.521
CPU,35,34.516,192.148
CPU,36,34.717,194.105
CPU,37,34.587,191.706
CPU,38,36.594,199.656
CPU,39,35.147,193.042
CPU,40,34.535,191.686
CPU,41,36.495,197.845
CPU,42,34.466,189.783
CPU,43,34.457,189.188
CPU,44,34.341,192.916
CPU,45,40.403,198.366
CPU,46,40.702,199.297
CPU,47,41.261,197.791
CPU,48,35.031,190.521
CPU,49,35.680,192.909
CPU,50,35.477,190.883
