# VAAKKU mask benchmark (build plan §6.5, gate G4)
# generated,2026-09-13T08:13:31.915+05:30
# device,I2501
# soc,QTI/SM8850
# android,16 (API 36)
# model,npu/selfie_multiclass_256x256.tflite
# runs,50
# warmup_discarded,5
# page,synthetic 3000x4000
# inference_ms,model.run only
# total_ms,scale + normalise + infer + paint
# note,accelerator is the rung LiteRT accepted; dispatch proof is logcat
accelerator,run,inference_ms,total_ms
NPU,1,2.984,117.705
NPU,2,2.609,118.765
NPU,3,2.618,116.423
NPU,4,2.624,116.749
NPU,5,2.595,117.379
NPU,6,2.604,116.589
NPU,7,2.873,116.855
NPU,8,2.596,116.527
NPU,9,2.630,117.089
NPU,10,2.593,117.007
NPU,11,2.586,116.591
NPU,12,2.592,116.711
NPU,13,2.884,117.869
NPU,14,2.622,117.514
NPU,15,2.603,116.844
NPU,16,2.581,116.538
NPU,17,2.583,116.529
NPU,18,2.550,116.434
NPU,19,2.895,119.872
NPU,20,2.601,116.590
NPU,21,2.605,116.805
NPU,22,2.628,116.673
NPU,23,2.586,117.702
NPU,24,2.598,116.882
NPU,25,2.969,118.563
NPU,26,2.650,116.932
NPU,27,2.597,121.689
NPU,28,2.634,117.438
NPU,29,2.633,116.632
NPU,30,2.611,116.559
NPU,31,2.872,116.876
NPU,32,2.597,117.666
NPU,33,2.595,116.537
NPU,34,2.543,116.597
NPU,35,2.514,116.359
NPU,36,2.489,118.928
NPU,37,2.865,117.587
NPU,38,2.513,116.468
NPU,39,2.529,116.574
NPU,40,2.517,116.500
NPU,41,2.492,117.685
NPU,42,2.493,116.737
NPU,43,2.741,116.783
NPU,44,2.487,116.278
NPU,45,2.489,120.198
NPU,46,2.542,117.179
NPU,47,2.522,116.496
NPU,48,2.511,116.501
NPU,49,2.772,116.783
NPU,50,2.527,117.247
GPU,1,10.497,142.768
GPU,2,9.552,141.776
GPU,3,10.730,144.255
GPU,4,10.337,142.625
GPU,5,10.494,142.820
GPU,6,10.651,142.952
GPU,7,10.642,142.900
GPU,8,10.711,146.236
GPU,9,9.613,141.904
GPU,10,11.054,143.330
GPU,11,5.264,137.668
GPU,12,10.499,146.493
GPU,13,10.720,142.951
GPU,14,10.406,142.651
GPU,15,10.515,142.735
GPU,16,10.594,142.833
GPU,17,10.513,143.331
GPU,18,10.661,145.489
GPU,19,10.591,142.894
GPU,20,10.706,142.956
GPU,21,10.736,144.209
GPU,22,10.613,145.681
GPU,23,9.552,145.384
GPU,24,10.568,143.053
GPU,25,10.548,142.735
GPU,26,10.516,143.276
GPU,27,9.920,142.756
GPU,28,10.818,143.078
GPU,29,10.589,143.108
GPU,30,9.851,145.210
GPU,31,10.638,142.963
GPU,32,10.556,143.985
GPU,33,10.578,142.890
GPU,34,11.067,143.311
GPU,35,5.196,138.058
GPU,36,10.519,144.122
GPU,37,9.971,143.789
GPU,38,10.597,143.286
GPU,39,10.563,143.983
GPU,40,10.669,143.310
GPU,41,10.514,142.804
GPU,42,10.473,142.752
GPU,43,9.987,142.048
GPU,44,9.588,143.805
GPU,45,10.489,143.257
GPU,46,10.589,142.783
GPU,47,9.481,141.685
GPU,48,10.573,143.955
GPU,49,10.520,144.369
GPU,50,10.709,143.032
CPU,1,30.052,163.062
CPU,2,30.063,164.081
CPU,3,30.072,164.957
CPU,4,30.185,165.079
CPU,5,30.139,166.193
CPU,6,30.051,162.601
CPU,7,29.960,162.329
CPU,8,29.999,169.715
CPU,9,29.992,163.035
CPU,10,29.983,166.477
CPU,11,30.034,167.696
CPU,12,29.959,167.499
CPU,13,31.500,166.536
CPU,14,30.933,165.344
CPU,15,30.083,162.756
CPU,16,30.044,162.676
CPU,17,30.326,163.447
CPU,18,30.023,163.061
CPU,19,29.992,163.224
CPU,20,30.021,165.794
CPU,21,30.080,164.746
CPU,22,32.193,165.102
CPU,23,32.508,166.846
CPU,24,29.985,162.762
CPU,25,32.846,168.447
CPU,26,29.951,162.771
CPU,27,29.847,163.702
CPU,28,29.890,163.196
CPU,29,29.893,162.811
CPU,30,32.117,166.262
CPU,31,32.228,165.094
CPU,32,29.918,164.041
CPU,33,32.998,166.767
CPU,34,29.900,162.770
CPU,35,29.969,163.881
CPU,36,30.118,165.577
CPU,37,30.046,163.491
CPU,38,29.953,163.478
CPU,39,30.137,165.395
CPU,40,29.989,164.669
CPU,41,29.956,181.848
CPU,42,34.354,189.380
CPU,43,34.344,189.342
CPU,44,34.302,192.287
CPU,45,34.440,189.548
CPU,46,34.742,190.282
CPU,47,34.312,191.064
CPU,48,34.347,194.282
CPU,49,34.429,191.892
CPU,50,34.757,191.317
